Attribute Name                        ir1100  ir1800  ir800   
------------------------------------------------------------------------------
dummyValueForBaseConfigMgmtConfigSectionyes     yes     yes     
baseconfiguration_managementconfigurationyes     yes     yes     
organization                          yes     yes     yes     
fndRegistrationIp                     yes     yes     yes     
fndRegistrationPort                   yes     yes     yes     
fndSnmpPort                           yes     yes     yes     
busId                                 yes     yes     yes     
boolProperty1                         yes     yes     yes     
boolProperty2                         yes     yes     yes     
boolProperty3                         yes     yes     yes     
boolProperty4                         yes     yes     yes     
boolProperty5                         yes     yes     yes     
boolProperty6                         yes     yes     yes     
boolProperty7                         yes     yes     yes     
boolProperty8                         yes     yes     yes     
boolProperty9                         yes     yes     yes     
boolProperty10                        yes     yes     yes     
numProperty1                          yes     yes     yes     
numProperty2                          yes     yes     yes     
numProperty3                          yes     yes     yes     
numProperty4                          yes     yes     yes     
numProperty5                          yes     yes     yes     
strProperty1                          yes     yes     yes     
strProperty2                          yes     yes     yes     
strProperty3                          yes     yes     yes     
strProperty4                          yes     yes     yes     
strProperty5                          yes     yes     yes     
secProperty1                          yes     yes     yes     
secProperty2                          yes     yes     yes     
secProperty3                          yes     yes     yes     
secProperty4                          yes     yes     yes     
secProperty5                          yes     yes     yes     
ipaddrProperty1                       yes     yes     yes     
ipaddrProperty2                       yes     yes     yes     
ipaddrProperty3                       yes     yes     yes     
ipaddrProperty4                       yes     yes     yes     
ipaddrProperty5                       yes     yes     yes     
ipaddrProperty6                       yes     yes     yes     
ipaddrProperty7                       yes     yes     yes     
ipaddrProperty8                       yes     yes     yes     
ipaddrProperty9                       yes     yes     yes     
ipaddrProperty10                      yes     yes     yes     
ipaddrProperty11                      yes     yes     yes     
ipaddrProperty12                      yes     yes     yes     
ipaddrProperty13                      yes     yes     yes     
ipaddrProperty14                      yes     yes     yes     
vlanProperty1                         yes     yes     yes     
vlanProperty2                         yes     yes     yes     
vlanProperty3                         yes     yes     yes     
vlanProperty4                         yes     yes     yes     
vlanProperty5                         yes     yes     yes     
